date,speaker,party,sentence
2020-10-22,BIDEN,Dem,"They are the states in the Midwest, they are the states in the upper Midwest, that’s where the spike is occurring significantly, but they’re all Americans."
2020-10-22,BIDEN,Dem,"They’re all Americans and what we have to do is say, wear these masks, number one, make sure we get the help that the businesses need."
2020-10-22,BIDEN,Dem,The money’s already been passed to do that.
2020-10-22,BIDEN,Dem,It’s been out there since the beginning of the summer and nothing’s happened.
2020-10-22,TRUMP,Rep,"Kristen, New York has lost more than 40,000 people."
2020-10-22,TRUMP,Rep,"11,000 people in nursing homes."
2020-10-22,TRUMP,Rep,"When you say spike, take a look at what’s happening in Pennsylvania, where they’ve had it closed."
2020-10-22,TRUMP,Rep,"Take a look at what’s happening with your friend in Michigan, where her husband’s the only one allowed to do anything."
2020-10-22,TRUMP,Rep,It’s been like a prison.
2020-10-22,TRUMP,Rep,Now it was just ruled unconstitutional.
2020-10-22,TRUMP,Rep,Take a look at North Carolina.
2020-10-22,TRUMP,Rep,"They’re having spikes and they’ve been closed, and they’re getting killed financially."
2020-10-22,TRUMP,Rep,"We can’t let that happen, Joe, you can’t let that happen."
2020-10-22,TRUMP,Rep,"We have to open up and we understand the disease, we have to protect our seniors, we have to protect our elderly, we have to protect, especially, our seniors with heart problems and diabetes problems, and we will protect them."
2020-10-22,TRUMP,Rep,We have the best testing in the world by far.
2020-10-22,TRUMP,Rep,That’s why we have so many cases.
2020-10-22,TRUMP,Rep,"I’m listening to all of them, including Anthony."
2020-10-22,TRUMP,Rep,I get along very well with Anthony.
2020-10-22,TRUMP,Rep,"But he did say, ‘don’t wear masks.’ He did say, as you know, ‘this is not going to be a problem.’ I think he’s a Democrat, but that’s okay."
2020-10-22,TRUMP,Rep,"He said, ‘this is not going to be a problem."
2020-10-22,TRUMP,Rep,"We are not going to have a problem at all.’ When Joe says that, I said — Anthony Fauci said and others and many others."
2020-10-22,TRUMP,Rep,And I’m not knocking him.
2020-10-22,TRUMP,Rep,Nobody knew.
2020-10-22,TRUMP,Rep,"Look, nobody knew what this thing was, nobody knew where it was coming from, what it was."
2020-10-22,TRUMP,Rep,"We’ve learned a lot, but Anthony said, ‘don’t wear masks.’ Now he wants to wear masks."
2020-10-22,TRUMP,Rep,"Anthony also said, if you look back, exact words, here’s his exact words: ‘This is no problem, this is going to go away soon.’ So he’s allowed to make mistakes, he happens to be a good person."
2020-10-22,BIDEN,Dem,"My response is that, think about what the President knew in January and didn’t tell the American people."
2020-10-22,BIDEN,Dem,"He was told this was a serious virus that spread in the air, and it was much worse than — much worse — than the flu."
2020-10-22,BIDEN,Dem,"He went on record and said to one of your colleagues, recorded, that in fact he knew how dangerous it was but he didn’t want to tell us, didn’t want to tell us because he didn’t want us to panic."
2020-10-22,BIDEN,Dem,He didn’t want us — Americans don’t panic.
2020-10-22,BIDEN,Dem,He panicked.
2020-10-22,BIDEN,Dem,"But, guess what, in the meantime, we find out in the New York Times the other day that in fact, his folks went to Wall Street and said, ‘this is a really dangerous thing,’ and a memo out of that meeting — not from his administration, but from some of the brokers — said, ‘sell short, because we gotta get moving."
2020-10-22,BIDEN,Dem,It’s a dangerous problem.’
2020-10-22,TRUMP,Rep,Well this is —
2020-10-22,TRUMP,Rep,"I don’t know, somebody went to Wall Street."
2020-10-22,TRUMP,Rep,You’re the one that takes all the money from Wall Street.
2020-10-22,TRUMP,Rep,I don’t take it.
2020-10-22,TRUMP,Rep,"You have raised a lot of money, tremendous amounts of money."
2020-10-22,TRUMP,Rep,"And every time you raise money, deals are made, Joe."
2020-10-22,TRUMP,Rep,I could raise so much more money.
2020-10-22,TRUMP,Rep,"As president and as somebody that knows most of those people, I could call the heads of Wall Street, the heads of every company in America, I would blow away every record."
2020-10-22,TRUMP,Rep,But I don’t want to do that because it puts me in a bad position.
2020-10-22,TRUMP,Rep,And then you bring up Wall Street?
2020-10-22,TRUMP,Rep,You shouldn’t be bringing up Wall Street.
